Test Name:,"UCT-AST9AH-A06",
Test Date:,"2024/03/04 10:48:13 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:01:35.0",1,1,1,1,2,="0:01:25.0",1.50,13.364,20.0,0.03,0.46,0.0,0.0,CHRG, ,
No,="0:01:36.0",1,1,1,1,2,="0:01:26.0",1.50,13.366,20.0,0.03,0.47,0.0,0.0,CHRG, ,
No,="0:01:37.0",1,1,1,1,2,="0:01:27.0",1.50,13.368,20.0,0.03,0.47,0.0,0.0,CHRG, ,
No,="0:01:38.0",1,1,1,1,2,="0:01:28.0",1.50,13.369,20.0,0.03,0.48,0.0,0.0,CHRG, ,
No,="0:01:39.0",1,1,1,1,2,="0:01:29.0",1.50,13.372,20.0,0.03,0.48,0.0,0.0,CHRG, ,
No,="0:01:40.0",1,1,1,1,2,="0:01:30.0",1.50,13.373,20.0,0.03,0.49,0.0,0.0,CHRG, ,
No,="0:01:41.0",1,1,1,1,2,="0:01:31.0",1.50,13.375,20.0,0.03,0.49,0.0,0.0,CHRG, ,
No,="0:01:42.0",1,1,1,1,2,="0:01:32.0",1.50,13.376,20.0,0.03,0.50,0.0,0.0,CHRG, ,
No,="0:01:43.0",1,1,1,1,2,="0:01:33.0",1.50,13.378,20.0,0.03,0.50,0.0,0.0,CHRG, ,
No,="0:01:44.0",1,1,1,1,2,="0:01:34.0",1.50,13.379,20.0,0.03,0.51,0.0,0.0,CHRG, ,
No,="0:01:45.0",1,1,1,1,2,="0:01:35.0",1.50,13.381,20.0,0.03,0.52,0.0,0.0,CHRG, ,
No,="0:01:46.0",1,1,1,1,2,="0:01:36.0",1.50,13.382,20.0,0.03,0.52,0.0,0.0,CHRG, ,
No,="0:01:47.0",1,1,1,1,2,="0:01:37.0",1.49,13.384,19.9,0.04,0.53,0.0,0.0,CHRG, ,
No,="0:01:48.0",1,1,1,1,2,="0:01:38.0",1.50,13.385,20.0,0.04,0.53,0.0,0.0,CHRG, ,
No,="0:01:49.0",1,1,1,1,2,="0:01:39.0",1.50,13.386,20.0,0.04,0.54,0.0,0.0,CHRG, ,
No,="0:01:50.0",1,1,1,1,2,="0:01:40.0",1.50,13.388,20.0,0.04,0.54,0.0,0.0,CHRG, ,
No,="0:01:51.0",1,1,1,1,2,="0:01:41.0",1.50,13.390,20.0,0.04,0.55,0.0,0.0,CHRG, ,
No,="0:01:52.0",1,1,1,1,2,="0:01:42.0",1.50,13.391,20.0,0.04,0.55,0.0,0.0,CHRG, ,
No,="0:01:53.0",1,1,1,1,2,="0:01:43.0",1.50,13.393,20.0,0.04,0.56,0.0,0.0,CHRG, ,
No,="0:01:54.0",1,1,1,1,2,="0:01:44.0",1.50,13.394,20.0,0.04,0.57,0.0,0.0,CHRG, ,
No,="0:01:55.0",1,1,1,1,2,="0:01:45.0",1.50,13.396,20.0,0.04,0.57,0.0,0.0,CHRG, ,
No,="0:01:56.0",1,1,1,1,2,="0:01:46.0",1.50,13.397,20.0,0.04,0.58,0.0,0.0,CHRG, ,
No,="0:01:57.0",1,1,1,1,2,="0:01:47.0",1.50,13.399,20.0,0.04,0.58,0.0,0.0,CHRG, ,
No,="0:01:58.0",1,1,1,1,2,="0:01:48.0",1.50,13.400,20.0,0.04,0.59,0.0,0.0,CHRG, ,
No,="0:01:59.0",1,1,1,1,2,="0:01:49.0",1.50,13.401,20.0,0.04,0.59,0.0,0.0,CHRG, ,
No,="0:02:00.0",1,1,1,1,2,="0:01:50.0",1.50,13.403,20.1,0.04,0.60,0.0,0.0,CHRG, ,
No,="0:02:01.0",1,1,1,1,2,="0:01:51.0",1.50,13.404,20.1,0.04,0.60,0.0,0.0,CHRG, ,
No,="0:02:02.0",1,1,1,1,2,="0:01:52.0",1.50,13.405,20.1,0.04,0.61,0.0,0.0,CHRG, ,
No,="0:02:03.0",1,1,1,1,2,="0:01:53.0",1.50,13.407,20.0,0.04,0.62,0.0,0.0,CHRG, ,
No,="0:02:04.0",1,1,1,1,2,="0:01:54.0",1.50,13.408,20.1,0.04,0.62,0.0,0.0,CHRG, ,
No,="0:02:05.0",1,1,1,1,2,="0:01:55.0",1.50,13.410,20.1,0.04,0.63,0.0,0.0,CHRG, ,
No,="0:02:06.0",1,1,1,1,2,="0:01:56.0",1.50,13.410,20.0,0.04,0.63,0.0,0.0,CHRG, ,
No,="0:02:07.0",1,1,1,1,2,="0:01:57.0",1.50,13.412,20.0,0.04,0.64,0.0,0.0,CHRG, ,
No,="0:02:08.0",1,1,1,1,2,="0:01:58.0",1.50,13.414,20.0,0.04,0.64,0.0,0.0,CHRG, ,
No,="0:02:09.0",1,1,1,1,2,="0:01:59.0",1.50,13.415,20.1,0.04,0.65,0.0,0.0,CHRG, ,
No,="0:02:10.0",1,1,1,1,2,="0:02:00.0",1.50,13.416,20.0,0.04,0.65,0.0,0.0,CHRG, ,
No,="0:02:11.0",1,1,1,1,2,="0:02:01.0",1.50,13.418,20.1,0.05,0.66,0.0,0.0,CHRG, ,
No,="0:02:12.0",1,1,1,1,2,="0:02:02.0",1.50,13.419,20.1,0.05,0.67,0.0,0.0,CHRG, ,
No,="0:02:13.0",1,1,1,1,2,="0:02:03.0",1.50,13.420,20.1,0.05,0.67,0.0,0.0,CHRG, ,
No,="0:02:14.0",1,1,1,1,2,="0:02:04.0",1.49,13.421,20.0,0.05,0.68,0.0,0.0,CHRG, ,
No,="0:02:15.0",1,1,1,1,2,="0:02:05.0",1.49,13.422,20.0,0.05,0.68,0.0,0.0,CHRG, ,
No,="0:02:16.0",1,1,1,1,2,="0:02:06.0",1.50,13.424,20.1,0.05,0.69,0.0,0.0,CHRG, ,
No,="0:02:17.0",1,1,1,1,2,="0:02:07.0",1.50,13.425,20.1,0.05,0.69,0.0,0.0,CHRG, ,
No,="0:02:18.0",1,1,1,1,2,="0:02:08.0",1.50,13.427,20.1,0.05,0.70,0.0,0.0,CHRG, ,
No,="0:02:19.0",1,1,1,1,2,="0:02:09.0",1.50,13.428,20.1,0.05,0.70,0.0,0.0,CHRG, ,
No,="0:02:20.0",1,1,1,1,2,="0:02:10.0",1.50,13.429,20.1,0.05,0.71,0.0,0.0,CHRG, ,
No,="0:02:21.0",1,1,1,1,2,="0:02:11.0",1.49,13.430,20.0,0.05,0.72,0.0,0.0,CHRG, ,
No,="0:02:22.0",1,1,1,1,2,="0:02:12.0",1.50,13.432,20.1,0.05,0.72,0.0,0.0,CHRG, ,
No,="0:02:23.0",1,1,1,1,2,="0:02:13.0",1.50,13.433,20.1,0.05,0.73,0.0,0.0,CHRG, ,
No,="0:02:24.0",1,1,1,1,2,="0:02:14.0",1.50,13.434,20.1,0.05,0.73,0.0,0.0,CHRG, ,
No,="0:02:25.0",1,1,1,1,2,="0:02:15.0",1.50,13.436,20.1,0.05,0.74,0.0,0.0,CHRG, ,
No,="0:02:26.0",1,1,1,1,2,="0:02:16.0",1.50,13.437,20.1,0.05,0.74,0.0,0.0,CHRG, ,
