Test Name:,"UCT_AST_9AH_B05_VARIED DCHG",
Test Date:,"2024/05/08 11:26:26 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:06:07.5",1,1,1,1,4,="0:00:52.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:08.5",1,1,1,1,4,="0:00:53.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:09.5",1,1,1,1,4,="0:00:54.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:10.5",1,1,1,1,4,="0:00:55.0",0.22,13.700,2.9,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:11.5",1,1,1,1,4,="0:00:56.0",0.22,13.701,2.9,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:12.5",1,1,1,1,4,="0:00:57.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:13.5",1,1,1,1,4,="0:00:58.0",0.22,13.699,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:14.5",1,1,1,1,4,="0:00:59.0",0.21,13.700,2.9,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:15.5",1,1,1,1,4,="0:01:00.0",0.22,13.700,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:16.5",1,1,1,1,4,="0:01:01.0",0.21,13.701,2.8,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:17.5",1,1,1,1,4,="0:01:02.0",0.22,13.699,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:18.5",1,1,1,1,4,="0:01:03.0",0.22,13.699,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:19.5",1,1,1,1,4,="0:01:04.0",0.21,13.700,2.8,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:20.5",1,1,1,1,4,="0:01:05.0",0.21,13.699,2.8,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:21.5",1,1,1,1,4,="0:01:06.0",0.21,13.700,2.8,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:22.5",1,1,1,1,4,="0:01:07.0",0.22,13.700,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:23.5",1,1,1,1,4,="0:01:08.0",0.20,13.700,2.7,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:24.5",1,1,1,1,4,="0:01:09.0",0.22,13.701,2.9,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:25.5",1,1,1,1,4,="0:01:10.0",0.22,13.701,3.0,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:26.5",1,1,1,1,4,="0:01:11.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:27.5",1,1,1,1,4,="0:01:12.0",0.21,13.701,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:28.5",1,1,1,1,4,="0:01:13.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:29.5",1,1,1,1,4,="0:01:14.0",0.20,13.699,2.7,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:30.5",1,1,1,1,4,="0:01:15.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:31.5",1,1,1,1,4,="0:01:16.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:32.5",1,1,1,1,4,="0:01:17.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:33.5",1,1,1,1,4,="0:01:18.0",0.21,13.700,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:34.5",1,1,1,1,4,="0:01:19.0",0.21,13.701,2.8,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:35.5",1,1,1,1,4,="0:01:20.0",0.19,13.700,2.6,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:36.5",1,1,1,1,4,="0:01:21.0",0.20,13.701,2.7,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:37.5",1,1,1,1,4,="0:01:22.0",0.20,13.701,2.7,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:38.5",1,1,1,1,4,="0:01:23.0",0.19,13.701,2.6,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:39.5",1,1,1,1,4,="0:01:24.0",0.21,13.700,2.8,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:40.5",1,1,1,1,4,="0:01:25.0",0.19,13.700,2.6,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:41.5",1,1,1,1,4,="0:01:26.0",0.20,13.701,2.7,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:42.5",1,1,1,1,4,="0:01:27.0",0.21,13.701,2.8,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:43.5",1,1,1,1,4,="0:01:28.0",0.20,13.700,2.7,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:44.5",1,1,1,1,4,="0:01:29.0",0.20,13.700,2.7,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:45.5",1,1,1,1,4,="0:01:30.0",0.21,13.700,2.8,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:46.5",1,1,1,1,4,="0:01:31.0",0.20,13.699,2.7,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:47.5",1,1,1,1,4,="0:01:32.0",0.21,13.701,2.8,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:48.5",1,1,1,1,4,="0:01:33.0",0.19,13.701,2.6,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:49.5",1,1,1,1,4,="0:01:34.0",0.19,13.700,2.6,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:50.5",1,1,1,1,4,="0:01:35.0",0.19,13.700,2.6,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:51.5",1,1,1,1,4,="0:01:36.0",0.19,13.700,2.6,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:52.5",1,1,1,1,4,="0:01:37.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:53.5",1,1,1,1,4,="0:01:38.0",0.20,13.700,2.7,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:54.5",1,1,1,1,4,="0:01:39.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:55.5",1,1,1,1,4,="0:01:40.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:56.5",1,1,1,1,4,="0:01:41.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:57.5",1,1,1,1,4,="0:01:42.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:58.5",1,1,1,1,4,="0:01:43.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:06:59.5",1,1,1,1,4,="0:01:44.0",0.19,13.702,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:00.5",1,1,1,1,4,="0:01:45.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:01.5",1,1,1,1,4,="0:01:46.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:02.5",1,1,1,1,4,="0:01:47.0",0.19,13.700,2.6,0.00,0.09,0.0,0.0,CHRG, ,
