Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:05:47.8",1,1,1,1,4,="0:00:19.0",0.29,13.701,4.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:48.8",1,1,1,1,4,="0:00:20.0",0.29,13.700,4.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:49.8",1,1,1,1,4,="0:00:21.0",0.30,13.700,4.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:50.8",1,1,1,1,4,="0:00:22.0",0.30,13.700,4.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:51.8",1,1,1,1,4,="0:00:23.0",0.29,13.700,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:52.8",1,1,1,1,4,="0:00:24.0",0.29,13.701,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:53.8",1,1,1,1,4,="0:00:25.0",0.30,13.701,4.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:54.8",1,1,1,1,4,="0:00:26.0",0.28,13.700,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:55.8",1,1,1,1,4,="0:00:27.0",0.28,13.700,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:56.8",1,1,1,1,4,="0:00:28.0",0.29,13.701,3.9,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:57.8",1,1,1,1,4,="0:00:29.0",0.28,13.700,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:58.8",1,1,1,1,4,="0:00:30.0",0.29,13.701,3.9,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:59.8",1,1,1,1,4,="0:00:31.0",0.28,13.701,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:06:00.8",1,1,1,1,4,="0:00:32.0",0.28,13.700,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:06:01.8",1,1,1,1,4,="0:00:33.0",0.28,13.700,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:06:02.8",1,1,1,1,4,="0:00:34.0",0.28,13.701,3.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:06:03.8",1,1,1,1,4,="0:00:35.0",0.27,13.700,3.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:06:04.8",1,1,1,1,4,="0:00:36.0",0.27,13.700,3.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:05.8",1,1,1,1,4,="0:00:37.0",0.27,13.700,3.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:06.8",1,1,1,1,4,="0:00:38.0",0.26,13.700,3.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:07.8",1,1,1,1,4,="0:00:39.0",0.28,13.701,3.7,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:08.8",1,1,1,1,4,="0:00:40.0",0.27,13.700,3.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:09.8",1,1,1,1,4,="0:00:41.0",0.27,13.700,3.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:10.8",1,1,1,1,4,="0:00:42.0",0.26,13.700,3.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:11.8",1,1,1,1,4,="0:00:43.0",0.25,13.700,3.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:12.8",1,1,1,1,4,="0:00:44.0",0.26,13.700,3.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:13.8",1,1,1,1,4,="0:00:45.0",0.26,13.700,3.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:14.8",1,1,1,1,4,="0:00:46.0",0.26,13.700,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:15.8",1,1,1,1,4,="0:00:47.0",0.26,13.700,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:16.8",1,1,1,1,4,="0:00:48.0",0.26,13.700,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:17.8",1,1,1,1,4,="0:00:49.0",0.26,13.700,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:18.8",1,1,1,1,4,="0:00:50.0",0.26,13.700,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:19.8",1,1,1,1,4,="0:00:51.0",0.25,13.701,3.3,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:20.8",1,1,1,1,4,="0:00:52.0",0.26,13.701,3.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:21.8",1,1,1,1,4,="0:00:53.0",0.25,13.700,3.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:22.8",1,1,1,1,4,="0:00:54.0",0.25,13.700,3.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:23.8",1,1,1,1,4,="0:00:55.0",0.25,13.700,3.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:24.8",1,1,1,1,4,="0:00:56.0",0.25,13.700,3.4,0.00,0.05,0.0,0.0,CHRG, ,
